outlet,bias,headline,summary,ground_news_interest_url
elDiarioAR,Left,Tragedy in Switzerland: a Fire Left Dozens Dead and More than a Hundred Wounded During a New Year's Party,"It happened in the early morning in a bar in Crans-Montana, in the canton of Valais. Authorities ruled out an attack and pointed to an accident, possibly linked to the use of pyrotechnics. There are serious victims and the identity of the deceased is investigated. What was supposed to be a New Year celebration ended in tragedy in Crans-Montana, one of the most exclusive ski resorts in Switzerland, where a fire in a bar caused several tens of deaths and injuries.",https://ground.news/interest/eldiarioarcom
Raw Story,Left,Trump lavishes praise on Tim Walz amid immigration chaos in Minnesota,"In a surprising turn of events, President Donald Trump praised Minnesota Governor Tim Walz, who has been at the center of the ongoing immigration crisis in the state, just days after accusing him of inciting insurrection.",https://ground.news/interest/raw-story
Mississippi Free Press,Left,Bondi Clashes With Democrats As She Struggles to Turn the Page on Epstein Files Furor,Attorney General Pam Bondi launched into a passionate defense of President Donald Trump Wednesday as she tried to turn the page from relentless criticism of the Justice Department's handling of the Jeffrey Epstein files.,https://ground.news/interest/mississippi-free-press
Raw Story,Left,Attorney General Pam Bondi May Have to Testify on Claims DOJ Intimidated Epstein Survivors,"Attorney General Pam Bondi may have to testify on claims that the Department of Justice made ""deliberate attempts to intimidate survivors"" of late financier and child sex offender Jeffrey Epstein, according to reports Tuesday. Bondi was scheduled to testify on Wednesday before the House Judiciary Committee.",https://ground.news/interest/raw-story
Democracy Now!,Left,Rep. Ilhan Omar Attacked by Man at Minneapolis Town Hall After She Called for Noem’s Impeachment,"Minnesota Congressmember Ilhan Omar was sprayed with an unknown liquid during a town hall event in Minneapolis on Tuesday. The attack comes just days after Florida Congressmember Maxwell Frost was punched by a Trump supporter at the Sundance Film Festival. Omar, who has faced intense scrutiny from President Donald Trump and his supporters, described the incident as ""heartbreaking.""",https://ground.news/interest/democracy-now
Aftonbladet,Left,New Epstein Files Released by US Department of Justice,"Over three and a half million new Epstein files are being released today by the US Department of Justice, with a significant portion containing pornographic content.",https://ground.news/interest/aftonbladet
World Socialist Web Site,Left,Was Alex Pretti the subject of a targeted assassination?,New evidence suggests that the murder of Pretti was a targeted assassination carried out by the Trump administration's paramilitary forces to intimidate Minneapolis citizens opposing and recording its criminal activities.,https://ground.news/interest/world-socialist-web-site
The Cut,Left,FBI Agent Arrested for Attempting to Escape Prison with Luigi Mangione,"Mark Anderson, a Minnesota man, was arrested on Wednesday for allegedly impersonating an FBI agent in an attempt to get Luigi Mangione out of prison.",https://ground.news/interest/the-cut
Common Dreams,Left,"'Disgusting Act of Corruption': Trump Sues IRS, Treasury for $10 Billion Over Tax Return Leak","Trump is suing the IRS and Treasury for $10 billion over the leak of his tax returns, while his Treasury Department is sending individual tax records to ICE, violating taxpayer privacy laws.",https://ground.news/interest/common-dreams
Raw Story,Left,"Minnesota Man Arrested for Imposting as FBI Agent, Posing with Pizza Cutter to Free Accused Assassin","Mark Anderson, a 27-year-old from Mankato, Minnesota, was arrested for impersonating an FBI agent and using a pizza cutter to break out a man accused of killing a federal judge. Anderson faces federal charges for his actions and is set to appear in court on Thursday.",https://ground.news/interest/raw-story
Xinhua,Left,Finland Detains Vessel over Suspected Undersea Cable Damage,Finland detains vessel over suspected undersea cable damage 2 months ago · China,https://ground.news/interest/newscn
The London Economic,Left,"Trump's 'Nobel Peace Prize' Gifts: Machado, Venezuela's Opposition Leader, Offers Him the Prize She Won Last Year","In a bizarre turn of events, President Donald J. Trump received a 'Nobel Peace Prize' from Venezuela's opposition leader, Maria Corina Machado, during a meeting at the White House on Friday.",https://ground.news/interest/the-london-economic
Raw Story,Left,Senate Republicans face civil war over filibuster: 'We'd be schmucks to sit here!',"Senate Republicans are increasingly at each other's throats over whether to change the filibuster rule to ram through bill that would mandate new voting restrictions nationwide and require proof of citizenship to register to vote. A loud contingent of the party is increasingly convinced that Republicans would be ""schmucks"" to sit idly by and allow such a bill to pass without a fight.",https://ground.news/interest/raw-story
World Socialist Web Site,Left,Major Financial Oligarchs Helped Kevin Warsh Secure Trump’s Nomination for Fed Chair,Trump's decision is a result of a delicate balancing act that highlights the inherent instability of the US financial system.,https://ground.news/interest/world-socialist-web-site
Talking Points Memo,Left,Trump Eyes Invocation of Insurrection Act as Minneapolis Protests Intensify,"As protests against police brutality in Minneapolis intensify, President Trump is eyeing the potential to invoke the Insurrection Act, a move he has been seeking since his first term.",https://ground.news/interest/talking-points-memo
Crooks and Liars,Left,Democrat Rips Bondi A New One For Lying 'Under Oath',"Democratic Rep. Ted Lieu played the infamous clip of notorious sex-trafficker Jeffrey Epstein and Donald Trump hanging out at a party together for Attorney General Pam Bondi, who was extremely combative in front of the House Judiciary Committee. Somehow, Bondi insisted that ""there is no evidence that Donald Trump has committed a crime."" She's talking about the same president whose name in the unredacted Epstein files came up ""more than a million times.""",https://ground.news/interest/crooksandliarscom
Raw Story,Left,Melania Trump's Documentary Flops at UK Premiere with Single-Digit Ticket Sales,"Melania Trump's eponymous documentary ""Melania"" flopped in its London debut, with only one ticket sold and two tickets sold for a 6 p.m. showing at the UK cinema chain Vue's flagship Islington theater.",https://ground.news/interest/raw-story
teleSUR,Left,Mexico Asks to Clarify Death of Mexican Citizen in U.S. Ice Custody,The Mexican government reiterates its commitment to providing consular assistance and protection to the community of this nation on United States territory.,https://ground.news/interest/telesurtvnet
HuffPost,Left,Senate Approves Government Funding Amid ICE Reform Talks,Democrats agreed to fund the Department of Homeland Security for two weeks while talks continue on reforming ICE amid protests in Minneapolis.,https://ground.news/interest/huffpost
HuffPost,Left,"Megyn Kelly: 'He Was There With a Loaded Gun Looking to Cause Trouble for the Border Patrol Agents, and That Trouble Came Back on Him'","",https://ground.news/interest/huffpost
Boing Boing,Left,"NYT Uncovers Over 38,000 Trump References in Released Epstein Documents","The New York Times used a proprietary search tool to find more than 5,300 files containing over 38,000 references to Trump, his wife, Mar-a-Lago, and related terms in the Epstein documents released Friday. The files include unverified tips submitted to the FBI — some accusing Trump and Epstein of sexual abuse — as well as interview notes where victims describe interactions with Trump.",https://ground.news/interest/boing-boing
The Daily Beast,Left,Trump’s DOJ: Epstein Files Cover-Up Completed,Deputy Attorney General Rod Rosenstein announced that the DOJ had finished its review of the Epstein files.,https://ground.news/interest/the-daily-beast
News One,Left,Federal Agents Who Killed Alex Pretti Placed On Leave,U.S. Customs and Border Protection spokesperson confirms two federal agents placed on leave following the fatal shooting of 37-year-old Alex Pretti by federal agents in Minnesota.,https://ground.news/interest/news-one
Vox,Left,Can Trump send soldiers to Minneapolis?,"The Insurrection Act, explained. 1 month ago · United States",https://ground.news/interest/vox
The New Republic,Left,Trump’s Lawsuit Against the IRS Is Even Crazier Than You Think,Donald Trump is suing over things that happened during his first term.,https://ground.news/interest/the-new-republic
The London Economic,Left,Melania documentary sees single-figure ticket sales across UK cinemas,"Tickets sales for Melania, the upcoming documentary about the first lady of the United States, look set to be shockingly bad at UK cinemas.",https://ground.news/interest/the-london-economic
heimildin.is,Left,Trump Demands $10 Billion in Us Tax Cuts,"President Donald Trump has filed a lawsuit against the Internal Revenue Service (IRS) seeking $10 billion, equivalent to 1.240 billion krónur, over alleged leaks of tax returns that he says have harmed his business. The lawsuit – filed by the president on his own behalf, along with his two eldest sons, Eric and Donald Jr., and their family business, The Trump Organization – said the tax...",https://ground.news/interest/heimildinis
Meduza,Left,Faux FBI Agent Attempts to Free Prisoner Accused of Murder,"On January 27, a man posing as an FBI agent attempted to release Luigi Manjone, who is on trial for the murder of UnitedHealthcare CEO Brian Thompson.",https://ground.news/interest/meduza
heimildin.is,Left,Trump Demands $10 Billion in Us Tax Cuts,"President Donald Trump has filed a lawsuit against the Internal Revenue Service (IRS) seeking $10 billion, equivalent to 1.240 billion krónur, over alleged leaks of tax returns that he says have harmed his business. The lawsuit – filed by the president on his own behalf, along with his two eldest sons, Eric and Donald Jr., and their family business, The Trump Organization – said the tax...",https://ground.news/interest/heimildinis
