outlet,bias,headline,summary,ground_news_interest_url
The New American,Far Right,"Trump Threatens to Invoke Insurrection Act in Minneapolis in Wake of Attack on ICE Agent, Self-defense Shooting","The president has threatened to invoke the Insurrection Act to stop far-left attacks against ICE officers in Minneapolis. The post Trump Threatens to Invoke Insurrection Act in Minneapolis in Wake of Attack on ICE Agent, Self-defense Shooting appeared first on The New American. 1 month ago",https://ground.news/interest/the-new-american
realnewsnow.com,Far Right,"Trump Told Palm Beach Police Chief to ""Focus on"" Ghislaine Maxwell in 2006 Epstein Call, FBI File Reveals - Real News Now","A newly released FBI interview summary reveals that Donald Trump personally called Palm Beach Police Chief Michael Reiter in 2006 to thank him for investigating Jeffrey Epstein, calling Epstein's associate Ghislaine Maxwell ""evil"" and urging the department to ""focus on her."" According to the FBI's 2019 interview with Reiter, the future president was ""one of the very first people to call"" after news broke that authorities were investigating Epstein's associates.",https://ground.news/interest/realnewsnowcom
100% FED UP!,Far Right,"",President Trump accepted a Nobel Peace Prize medal presented to him by Venezuelan opposition leader María Corina Machado. Machado presented the medal to Trump during a ceremony in the White House.,https://ground.news/interest/100percentfedupcom
protrumpnews.com,Far Right,Trump Sues IRS Over Tax Return Leak,"President Donald Trump is suing the IRS and Treasury Department for $10 million, alleging that the IRS and Treasury Department caused him and his business partners significant reputational and financial harm. The lawsuit claims that the leak of his tax return unfairly tarnished his public image and negatively affected his standing in the public eye.",https://ground.news/interest/protrumpnewscom
The Last Refuge,Far Right,"DOJ Releases 3.5 million Pages, Images, Videos, and Files of Epstein Material","The Department of Justice has released over 3 million pages, images, videos, and files in response to the Epstein Files Transparency Act, signed into law by President Trump. The press release and primary link to review all the materials are available here.",https://ground.news/interest/the-last-refuge
The Savage Nation,Far Right,"Trump Sues IRS, Treasury Department Over Tax Return Leak","The president's sons, Eric Trump and Donald Trump Jr., along with the Trump Organization, have filed a $10 billion lawsuit against the IRS and the Treasury Department, alleging that the leak of their confidential tax records caused reputational and financial harm, public embarrassment, and unfairly tarnished their business reputations.",https://ground.news/interest/the-savage-nation
WLTReport,Far Right,"President Trump Files $10 Billion Lawsuit Against IRS, Treasury Department","President Trump has filed a $10 billion lawsuit against the Internal Revenue Service (IRS) and Treasury Department, alleging the agency unlawfully leaked his tax returns. The lawsuit claims that a rogue, politically-motivated employee leaked private and confidential information about President Trump, his family, and the Trump Organization to the New York Times, ProPublica, and other media outlets.",https://ground.news/interest/wltreportcom
realnewsnow.com,Far Right,Trump Threatens Insurrection Act in Minnesota After Second ICE Clash - Real News Now,"President Trump warned Thursday that he may invoke the Insurrection Act in Minnesota if state officials fail to stop what he called “professional agitators and insurrectionists” targeting federal immigration officers. The warning follows a second ICE-involved shooting in Minneapolis in just over a week. According to the Department of Homeland Security, a federal agent was attacked by three individuals while attempting to detain a Venezuelan illegal immigrant.",https://ground.news/interest/realnewsnowcom
Twitchy,Far Right,"Gosh, What CHANGED, Timmy?! Tampon Tim Walz CAVES, Will Work With Trump and Tom Homan",Tim Walz's surprising shift: working with Trump on immigration issues after recent controversies.,https://ground.news/interest/twitchy
The Last Refuge,Far Right,Melania Trump's New Biographical Film 'Melania' Opens in Theaters This Friday,"Earlier this morning from New York City, First Lady Melania Trump rang the opening bell at the New York Stock Exchange, officially starting the day’s trading. The moment was in celebration of her new biographical film ""Melania"" which opens in theaters this Friday. Prior to the opening bell, First Lady Melania Trump outlined to the press the significance of the film and its release. The post Melania Trump's New Biographical Film 'Melania' Opens in Theaters This Friday...",https://ground.news/interest/the-last-refuge
WND,Far Right,'He sprayed something on her!' Watch man rush at Ilhan Omar during town hall * WorldNetDaily * by Joe Kovacs,"President Trump: 'She probably had herself sprayed, knowing her'",https://ground.news/interest/wnd
100% FED UP!,Far Right,DEVELOPING: Multiple Fatalities After Shooting At Ice Rink * 100PercentFedUp.com * by Danielle,"At least two people are dead after a shooting at an indoor ice skating rink in Rhode Island on Monday. The incident occurred at the rink in Warwick, where the shooter opened fire, resulting in multiple fatalities.",https://ground.news/interest/100percentfedupcom
100% FED UP!,Far Right,Minnesota Man Arrested for Trying to Break Luigi Mangione Out of Jail * 100PercentFedUp.com * by Kaley,A man has just been arrested for allegedly trying to bust accused United Healthcare CEO killer Luigi Mangione out of jail.,https://ground.news/interest/100percentfedupcom
100% FED UP!,Far Right,Elon Musk’s xAI Co-Founder Leaves Company Abruptly * 100PercentFedUp.com * by Anthony,"This is a major loss for xAI. A co-founder of Elon Musk’s xAI has announced he’s leaving the company. Co-founder Tony Wu announced he’s leaving the company, marking the 4th co-founder to leave the artificial intelligence company in the last year. CNBC reported the following details on Wu’s sudden departure: Elon Musk’s xAI has lost another founding member. Tony Wu announced late on Monday that he resigned from the artificial intelligence start-up.",https://ground.news/interest/100percentfedupcom
The Last Refuge,Far Right,"DOJ Releases 3.5 million Pages, Images, Videos, and Files of Epstein Material","The Department of Justice has released over 3 million pages, images, videos, and files in response to the Epstein Files Transparency Act, which was signed into law by President Trump. The press release outlining the specifics is available here (pdf format), and the primary link to review all of the Epstein materials is here.",https://ground.news/interest/the-last-refuge
