outlet,bias,headline,summary,ground_news_interest_url
teleSUR,Far Left,Trump insists on deploying military forces in Greenland during NATO meeting,"US President Donald Trump reiterated his claim to annex the territory of Greenland, belonging to Denmark, during his first meeting since he resumed his post with NATO Secretary General Mark Rutte. He also proposed sending troops to the island, and has denied that it truly belongs to Denmark. According to his statement, Denmark is ""extremely distant"" from Greenland, despite being part of his kingdom. ""A ship arrived there 200 years ago or so. The… 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,The international right's strategy against Venezuela mirrors failed interventions in the past,"The opposition's proposal to use Edmundo González as a power option in Venezuela is framed as a parallel to previous attempts to destabilize the country, including the failed ""Plan Guaidó"" of 2019. At the beginning of 2025, this development seems to be following a familiar playbook for the Venezuelan people, which has historically proved ineffective in the face of Bolivarian institutional stability. 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,In Images: Anti-Fascist and Anti-Racist Pride March in Argentina,"The mobilization is seen as one of the most massive protests against the president since his arrival to the presidency in December 2023. This Saturday, the Cathedral of the City of Buenos Aires was surrounded in the run-up to the mobilization called by the Anti-Fascist LGBTIQ+ Assembly, in which at least two million people, according to the organizers, protested in rejection of the hate speech of President Javier Milei and other sectors, in defiance of the government's attempts to silence the voices of the LGBTIQ+ community.",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Yambo Calls In Missile Strikes On Low-Threat IS Group In Somalia,"Yambo ordered military air strikes on a senior IS attack planner and others from the group in Somalia. Via BBC: ""These killers, who we found hiding in caves, threatened the United States and our Allies,"" Trump posted on social media. ""The strikes destroyed the caves they live in, and killed many terrorists without, in any way, harming civilians."" No, they weren't threatening the United States. But after a week of botched attacks, Trump's response was to praise the strikes and claim they were successful.",https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,"David Lynch, Iconic American Film Director, Dies at 78","David Lynch, a renowned American film director, passed away on Thursday at the age of 78. His official Facebook page announced the news, expressing deep regret and emphasizing the loss of a talented and influential artist. Lynch, known for his unique and surreal films, will be remembered for his contributions to American cinema. 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Trump Threatens Hamas with Military Action if Hostages Not Released,"U.S. President Donald Trump has issued a new ultimatum to Hamas, threatening military action if the Palestinian Resistance Movement does not release all Jewish hostages held in the Gaza Strip.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,90 Palestinians released after Israeli women hostages freed,"In a major development in the ongoing conflict, 90 Palestinians held captive by the Israeli Army were released in the early hours of Monday, January 20, as part of the ceasefire agreement signed in Doha, Qatar. The release of the hostages, including Israeli women, was a key component of the agreement. Most of those released are women, including Khalida Jarrar, a prominent Palestinian activist.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Senate Confirmed Kremlin ‘Girlfriend’ Tulsi Gabbard As DNI,"It’s almost like Donald Trump is trying to destroy our national security, with GOP help. 1 year ago · United States",https://ground.news/interest/crooksandliarscom
World Socialist Web Site,Far Left,"Trump escalates global economic war with ""reciprocal tariffs""","The move, which goes beyond the imposition of a flat tariff on all nations, threatens to shatter what remains of the global trading system that has been in operation since 1947. 1 year ago · United States",https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,Pope Francis in critical condition after respiratory crisis,"Francis remains conscious and has spent the day in an armchair, although with more discomfort than those suffered on Friday. The Vatican Press Office reported that Pope Francis remains in critical condition after experiencing a respiratory crisis this Saturday, although he remains conscious and has spent the day in an armchair although with more discomfort than those suffered on Friday.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Shooter kills 12 people in Montenegro,"Montenegrin authorities reported on Thursday the death of 12 people in the city of Cetinje, to the south, after several gun attacks by a shooter who ended up killing himself, and anticipated that three days of mourning will be decreed for the tragedy. READ ALSO: Shooting in Queens, USA, leaves several injured The events occurred during the night of Wednesday, when the shooter - identified as Aco Martinovic by the RTCG public television network- carried out the attacks.",https://ground.news/interest/telesurtvnet
World Socialist Web Site,Far Left,Gazans allowed to return to the devastated north,"Pictures bear comparison only with the scenes of devastation in the aftermath of the Second World War. According to the United Nations, 92 percent of dwellings are either destroyed, severely or partially damaged. 1 year ago · United States",https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Hamas Delivers 3 Israeli Hostages in Fifth Exchange of Truce · Global Voices,"Hamas handed over three Israeli hostages to a Red Cross delegation on Saturday, as part of the fifth exchange of the truce it has with the Israeli occupier in the Gaza Strip. READ ALSO: Hezbollah condemns Trump's moves to evict Gaza",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Trump Lies at Davos: CNN's Daniel Dale Fact Checks Trump's Speech,"CNN's Daniel Dale fact checks some of the many lies told by Trump at the World Economic Forum in Davos, Switzerland. 1 year ago · United States",https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,China to retaliate against U.S. with WTO complaint and countermeasures,"China has announced that it will file a formal complaint with the WTO and take countermeasures to firmly safeguard its own rights and interests. The Chinese government has strongly condemned the recent U.S. decision to impose a 10 percent tariff on imports from China, calling it a unilateral act that violates international trade rules.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Israel's Ground Offensive in Southern Lebanon Continues Amid Ceasefire,"Israel has launched a ground offensive in southern Lebanon, targeting civilian areas and infrastructure. The offensive, which began on January 20, has seen Israeli forces conducting more than 20 air strikes in the Zebqin Valley and the area between Aita al-Jabal and Beit Yahoun. The attacks have targeted civilian sites, including the Muraisa area, between the towns of Al-Babliyya and Al-Zarariya. READ ALSO: Israeli bombings continue in Lebanon during the ceasefire. They al… 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"Uncontrolled forest fires leave two dead in Southern California, USA.",Two deaths have been reported in Southern California due to uncontrolled forest fires.,https://ground.news/interest/telesurtvnet
Jacobin,Far Left,"","",https://ground.news/interest/jacobincom
Crooks and Liars,Far Left,MSNBC's Ali Velshi Discusses Hegseth Vote,MSNBC's Ali Velshi discusses the consequences of Pete Hegseth narrowly being confirmed for Defense Secretary.,https://ground.news/interest/crooksandliarscom
