outlet,bias,headline,summary,ground_news_interest_url
Український мілітарний портал,Lean Right,Romanian Volunteer Raises Record Amount for Ukraine Following Trump's Criticism,A Romanian volunteer has raised a record-breaking amount for Ukraine after former President Donald Trump announced plans to cut off military aid to the country. 1 year ago,https://ground.news/interest/_36bd62
NHK World,Lean Right,"Ukrainian Prime Minister: ""US support is essential"" - emphasizes continued cooperation","[NHK] Ukrainian Prime Minister Shmykhali held a press conference on the 4th and commented on the US Trump administration's decision to suspend military aid to Ukraine... 1 year ago · Tokyo, Japan",https://ground.news/interest/nhk-world
Le Point.fr,Lean Right,What solutions for the Ukrainian army without American help?,"The United States has supplied 500 million cartridges and 4 million shells in two years. The cessation of these deliveries is expected to be difficult to compensate for for for Europe. 1 year ago · Paris, France",https://ground.news/interest/le-pointfr
आज तक,Lean Right,America has stopped military aid... Will Ukraine now be able to continue the fight relying on Europe alone?,"The US has been the largest country to provide military aid to Ukraine. By 31 December 2024, the US had provided a total of $67.2 billion in military aid to Ukraine. This aid came in the form of missiles, air defense systems, artillery, bullets, radios, infantry vehicles and other equipment. 1 year ago",https://ground.news/interest/_421d90
India TV News,Lean Right,Can Ukraine stand strong against Russia as US withdraws military aid? What's next for Kyiv?,"US President Donald Trump has temporarily suspended the delivery of all American military aid to Ukraine. The move comes days after an unprecedented spat unfolded at the Oval Office between Trump and his Ukrainian counterpart, Volodymyr Zelenskyy. According to a report published in The New York Times, a senior administration official said that Trump temporarily suspended the delivery of all US military aid to Ukraine and that the order takes eff… 1 year ago · India",https://ground.news/interest/india-tv-news
GB News,Lean Right,Donald Trump orders pause on Ukraine military aid in bid to pressure Zelensky into ceasefire,"President Donald Trump has paused military aid to Ukraine following his clash with Ukrainian President Zelensky last week 1 year ago · London, United Kingdom",https://ground.news/interest/gbnewscom
Le Parisien,Lean Right,"DIRECT. Ukraine: Donald Trump's decision ""removes peace,"" says Benjamin Haddad","Donald Trump put his threat to execution and ordered Monday a ""stop"" in US military aid to Ukraine at war against Russia, three days after the altercation at the White House with Ukrainian President Volodymyr Zelensky. 1 year ago · Paris, France",https://ground.news/interest/le-parisien
Il Sole 24 Ore,Lean Right,"Trump: immediate stop to military aid to Ukraine against Russia starts - European Defense, draft EU summit: “Truce only with a peace agreement”","The president decrees an indefinite pause, stopping even more than a billion in weapons already in transit through Kiev. Arsenals worth 4 billion instead in Israel 1 year ago · Milan, Italy",https://ground.news/interest/il-sole-24-ore
Le Figaro,Lean Right,"IN DIRECT - War in Ukraine: Trump decides to suspend military aid in Kiev, Vance calls on Europeans to be ""realistic""","This decision was taken after a meeting at the White House on Monday afternoon with the officials responsible for defence, Pete Hegseth, and diplomacy, Marco Rubio, as well as the main advisers of President Donald Trump. 1 year ago · Paris, France",https://ground.news/interest/le-figaro
Capital.fr,Lean Right,"War in Ukraine: Donald Trump decides ""pause"" in military aid in Kiev","Donald Trump has decided to suspend until further notice the military aid provided by the United States to Ukraine. This is not a ""permanent end"" but a ""pause"" pending a search for a solution for peace. 1 year ago",https://ground.news/interest/capitalfr
