outlet,bias,headline,summary,ground_news_interest_url
The Straits Times,Lean Right,New Orleans attack suspect was US-born army veteran,Shamsud-Din Jabbar appeared to have experienced marital and financial difficulties after leaving the military. 1 year ago · Singapore,https://ground.news/interest/the-straits-times_9bb9e6
Globo,Lean Right,American authorities believe several people involved in the attack in New Orleans,1 year ago · Brazil,https://ground.news/interest/globo
Business Live,Lean Right,Pro-Isis driver in deadly New Orleans truck attack may have had help,"FBI searching for accomplices as they investigate possible links to terrorist organisations 1 year ago · Johannesburg, South Africa",https://ground.news/interest/business-live
Daily Express,Lean Right,New Orleans attack updates as FBI believes 'multiple individuals' involved,"Killer Shamsud-Din Jabbar, 42, posted videos on social media saying he was inspired by the Islamic State terror group. 1 year ago · United Kingdom",https://ground.news/interest/daily-express
Times Live,Lean Right,"Driver flying Isis flag rams into New Orleans crowd, killing 15: he may have had help","A US army veteran flying an Isis flag from his truck swerved around makeshift barriers and plowed into New Orleans' crowded French Quarter on New Year's Day, killing 15 people in an attack officials said may have been carried out with the help of others. 1 year ago · Johannesburg, South Africa",https://ground.news/interest/times-live
読売新聞オンライン,Lean Right,Driver in Deadly New Orleans Truck Ramming May Have Had Help; ISIS Flag Found on Truck,"NEW ORLEANS (Reuters) - A U.S. Army veteran with an ISIS flag on his truck swerved around makeshift barriers and plowed into New Orleans’ crowded French Quarter on New Year’s Day, killing 15 people in an attack officials believe was carried out with the help of others. 1 year ago · Japan",https://ground.news/interest/_3899b7
n-tv.de,Lean Right,42-year-old realtor from Texas: What is known about the New Orleans attacker,"The man who destroyed so many lives on New Year's Eve in New Orleans was an IS sympathizer, that much now seems clear. Before he became radicalized, the Texan-born man served for a long time as an IT specialist in the US Army. In recent years he has complained about money problems. 1 year ago",https://ground.news/interest/n-tvde
Yeshiva World News,Lean Right,Officials Now Unsure Whether New Orleans Terrorist Acted Alone Or Not,Officials now say they are not sure the terrorist attack in New Orleans involved more than 1 person. Individuals seen apparently planting IEDs along Bourbon Street are now believed to have been innocent bystanders. 1 year ago,https://ground.news/interest/yeshiva-world-news
Washington Times,Lean Right,Details emerge about man behind New Orleans terror attack,New Year's festivities in New Orleans French Quarter came to a bloody end early Wednesday after an Army veteran plowed through a large crowd with a pickup truck carrying an ISIS flag killing at least 15 people and injuring 35 others. 1 year ago · United States,https://ground.news/interest/washington-times
DNyuz,Lean Right,What We Know About the Suspected Bombs Found in the New Orleans Attack,"The truck that a 42-year-old Texas man rammed into crowds on New Year’s Day was found with an Islamic State flag, weapons and potential homemade bombs — or improvised explosive devices, in F.B.I. parlance — contributing to a sense of continuing danger even after the driver died in a firefight with the police. After the attack, which killed at least 10 people and injured 35 others, a possible bomb was found in a cooler in the vicinity of the att… 1 year ago",https://ground.news/interest/dnyuz
