headline,summary,bias,predicted_bias
Finland Stops Ship that Is Said to Have Damaged Submarine Cable,"Alleged attack on Putin residence: Russia releases video with remains of a drone. Odessa reports power outages 2 months ago · Vienna, Austria",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Finland Stops Ship that Is Said to Have Damaged Submarine Cable
            ARTICLE SUMMARY: Alleged attack on Putin residence: Russia releases video with remains of a drone. Odessa reports power outages 2 months ago · Vienna, Austria

            Output ONLY the numeric bias score.
          
assistant0.0"
'It's simple — Trump's failing': Netizens rip into US warmongering against Iran,"Social media users have slammed Trump’s repeated military threats against Iran, saying Israel is dragging Washington into fighting another war on behalf of the Tel Aviv regime.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: 'It's simple — Trump's failing': Netizens rip into US warmongering against Iran
            ARTICLE SUMMARY: Social media users have slammed Trump’s repeated military threats against Iran, saying Israel is dragging Washington into fighting another war on behalf of the Tel Aviv regime.

            Output ONLY the numeric bias score.
          
assistant-2.0"
Ilhan Omar attacked by man with syringe full of 'unknown substance' at Minneapolis town hall meeting,"The man was tackled to the ground after he made the attack on Ilhan Omar on Tuesday, January 27",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Ilhan Omar attacked by man with syringe full of 'unknown substance' at Minneapolis town hall meeting
            ARTICLE SUMMARY: The man was tackled to the ground after he made the attack on Ilhan Omar on Tuesday, January 27

            Output ONLY the numeric bias score.
          
assistant0.0"
Imposter Facing Charges After Trying to Break Luigi Mangione Out of Prison With a Pizza Cutter,"AP Photo/Seth Wenig A man has been arrested after reportedly posing as an FBI agent agent while trying to break Luigi Mangione out of his New York jail. Mark Anderson, 36, was charged by authorities on Thursday over the alleged incident, according to multiple reports citing law enforcement sources familiar with the situation, including ABC News. Anderson allegedly showed up to the Metropolitan Detention Center in Brooklyn and posed as a federal …",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Imposter Facing Charges After Trying to Break Luigi Mangione Out of Prison With a Pizza Cutter
            ARTICLE SUMMARY: AP Photo/Seth Wenig A man has been arrested after reportedly posing as an FBI agent agent while trying to break Luigi Mangione out of his New York jail. Mark Anderson, 36, was charged by authorities on Thursday over the alleged incident, according to multiple reports citing law enforcement sources familiar with the situation, including ABC News. Anderson allegedly showed up to the Metropolitan Detention Center in Brooklyn and posed as a federal …

            Output ONLY the numeric bias score.
          
assistant-1.0"
Pierrakakis: Bulgaria's Accession to the Eurozone Strengthens the Common Currency and the Common Economic Foundations of the Eu,The message of the Minister of Finance and new President of the Eurogroup on Bulgaria's accession to the Eurozone from January 1 2 months ago,Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Pierrakakis: Bulgaria's Accession to the Eurozone Strengthens the Common Currency and the Common Economic Foundations of the Eu
            ARTICLE SUMMARY: The message of the Minister of Finance and new President of the Eurogroup on Bulgaria's accession to the Eurozone from January 1 2 months ago

            Output ONLY the numeric bias score.
          
assistant+2.0"
DHS: Agents linked to death of Pretti placed on leave,(The Center Square) – Two federal agents accused of firing the shots in Saturday’s death of Alex Pretti in Minnesota are on administrative leave.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: DHS: Agents linked to death of Pretti placed on leave
            ARTICLE SUMMARY: (The Center Square) – Two federal agents accused of firing the shots in Saturday’s death of Alex Pretti in Minnesota are on administrative leave.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Germany: Bank Robbing Causes an Estimated Injury of 30 Million,"burglars robbed a bank last weekend in Gelsenkirchen, West Germany, causing an injury of 30 million euros (48 million Canadian dollars) according to the police, and the anger of customers Tuesday morning. 2 months ago · Montreal, Canada",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Germany: Bank Robbing Causes an Estimated Injury of 30 Million
            ARTICLE SUMMARY: burglars robbed a bank last weekend in Gelsenkirchen, West Germany, causing an injury of 30 million euros (48 million Canadian dollars) according to the police, and the anger of customers Tuesday morning. 2 months ago · Montreal, Canada

            Output ONLY the numeric bias score.
          
assistant0.0"
"Democrats block government funding package in Senate as negotiations continue to avert a shutdown - Boston News, Weather, Sports",WASHINGTON (AP) — Democrats voted to block legislation to fund the Department of Homeland Security and several other agencies Thursday as they continued to negotiate with Republicans and the White House on new restrictions for President Donald Trump’s surge of immigration enforcement. Thursday’s 45-55 test vote came as Democrats have threatened a partial government shutdown when money runs out on Friday. But Trump said just ahead of the vote tha…,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Democrats block government funding package in Senate as negotiations continue to avert a shutdown - Boston News, Weather, Sports
            ARTICLE SUMMARY: WASHINGTON (AP) — Democrats voted to block legislation to fund the Department of Homeland Security and several other agencies Thursday as they continued to negotiate with Republicans and the White House on new restrictions for President Donald Trump’s surge of immigration enforcement. Thursday’s 45-55 test vote came as Democrats have threatened a partial government shutdown when money runs out on Friday. But Trump said just ahead of the vote tha…

            Output ONLY the numeric bias score.
          
assistant+2.0"
"Trump threatens to invoke an 1807 law, deploy troops to end protests in Minneapolis","President Donald Trump's threat on Thursday to use the Insurrection Act comes after a man was shot and wounded by an immigration officer who had been attacked with a shovel and broom handle. 1 month ago · Michigan, United States",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump threatens to invoke an 1807 law, deploy troops to end protests in Minneapolis
            ARTICLE SUMMARY: President Donald Trump's threat on Thursday to use the Insurrection Act comes after a man was shot and wounded by an immigration officer who had been attacked with a shovel and broom handle. 1 month ago · Michigan, United States

            Output ONLY the numeric bias score.
          
assistant+2.0"
Federal officials refer Minnesota to DOJ for allowing boys in girls' sports,"Share This StoryFederal officials have referred Minnesota to the Justice Department (DOJ) over alleged civil rights violations stemming from the state’s refusal to halt male participation in female sports. The referral came from the Education Department (ED) and Department of Health and Human Services (HHS), which concluded in September that the state violated Title IX’s prohibition on sex-based discrimination in federally funded education. In a…",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Federal officials refer Minnesota to DOJ for allowing boys in girls' sports
            ARTICLE SUMMARY: Share This StoryFederal officials have referred Minnesota to the Justice Department (DOJ) over alleged civil rights violations stemming from the state’s refusal to halt male participation in female sports. The referral came from the Education Department (ED) and Department of Health and Human Services (HHS), which concluded in September that the state violated Title IX’s prohibition on sex-based discrimination in federally funded education. In a…

            Output ONLY the numeric bias score.
          
assistant-1.0"
